date,pm2.5_avg,humidity,temperature,pressure
2022-03-15 00:00:00+00:00,55.90858369098713,63.433,36.234,899.344
2022-03-16 00:00:00+00:00,12.658333333333335,47.834,32.466,897.892
2022-03-18 00:00:00+00:00,22.991666666666667,47.3,38.0,899.014
2022-03-19 00:00:00+00:00,59.32188841201717,59.934,40.133,898.683
2022-03-20 00:00:00+00:00,16.275,55.5,41.966,893.573
2022-03-21 00:00:00+00:00,16.275,64.034,38.0,898.145
2022-03-22 00:00:00+00:00,46.44442060085837,61.834,39.034,898.132
2022-03-23 00:00:00+00:00,28.416666666666664,57.834,40.966,901.008
2022-03-24 00:00:00+00:00,34.49785407725322,54.334,41.1,892.236
2022-03-25 00:00:00+00:00,68.94246231155779,59.034,37.3,892.141
2022-03-26 00:00:00+00:00,41.16931330472103,42.734,42.133,894.689
2022-03-27 00:00:00+00:00,50.943776824034344,46.733,36.0,900.735
2022-03-28 00:00:00+00:00,47.22017167381974,39.966,41.133,900.091
2022-03-29 00:00:00+00:00,34.96330472103004,43.5,37.467,906.957
2022-03-30 00:00:00+00:00,49.85772532188841,39.8,45.233,900.588
2022-03-31 00:00:00+00:00,32.325751072961374,43.433,51.834,899.495
2022-04-01 00:00:00+00:00,39.77296137339056,40.3,47.966,903.049
2022-04-02 00:00:00+00:00,52.9607296137339,39.966,49.466,901.508
2022-04-03 00:00:00+00:00,46.13412017167382,33.0,54.9,897.169
2022-04-04 00:00:00+00:00,31.0,27.4,64.466,893.387
2022-04-05 00:00:00+00:00,29.19166666666667,35.733,54.5,898.453
2022-04-10 00:00:00+00:00,29.708333333333336,53.067,49.233,898.006
2022-04-11 00:00:00+00:00,38.22145922746781,48.4,53.8,895.095
2022-04-12 00:00:00+00:00,27.9,41.0,58.4,886.172
2022-04-13 00:00:00+00:00,5.941666666666666,40.1,50.466,888.933
2022-04-14 00:00:00+00:00,26.35,41.966,40.633,897.286
2022-04-15 00:00:00+00:00,33.87725321888412,37.633,42.966,898.515
2022-04-16 00:00:00+00:00,15.241666666666667,38.933,51.5,896.571
2022-04-17 00:00:00+00:00,37.44570815450644,42.4,51.433,897.954
2022-04-18 00:00:00+00:00,43.1862660944206,38.0,55.966,898.351
2022-04-19 00:00:00+00:00,43.03111587982833,32.3,60.367,896.298
2022-04-20 00:00:00+00:00,36.04935622317596,31.033,64.066,891.131
2022-04-21 00:00:00+00:00,40.39356223175966,52.9,57.867,893.772
2022-04-22 00:00:00+00:00,44.42746781115879,46.166,57.9,895.754
2022-04-23 00:00:00+00:00,28.675,37.034,59.4,896.531
2022-04-24 00:00:00+00:00,31.705150214592273,34.933,59.834,895.874
2022-04-25 00:00:00+00:00,20.15,30.534,67.367,894.919
2022-04-26 00:00:00+00:00,36.669957081545064,40.067,61.933,895.26
2022-04-27 00:00:00+00:00,36.04935622317596,39.5,62.534,894.729
2022-04-28 00:00:00+00:00,34.34270386266095,35.966,66.533,894.734
2022-04-29 00:00:00+00:00,45.82381974248927,58.733,65.7,898.014
2022-04-30 00:00:00+00:00,50.16802575107296,52.067,63.9,896.539
